activity_date,user_id,value
2023-11-01,97.0,11836
2023-11-01,36.0,15616
2023-11-01,52.0,9912
2023-11-01,48.0,2925
2023-11-01,17.0,4884
2023-11-01,8.0,12510
2023-11-01,31.0,5465
2023-11-01,44.0,4858
2023-11-01,28.0,236
2023-11-01,100.0,8770
2023-11-01,25.0,17376
2023-11-01,30.0,9600
2023-11-01,5.0,3080
2023-11-01,67.0,545
2023-11-01,80.0,9194
2023-11-01,78.0,6265
2023-11-01,49.0,12225
2023-11-01,37.0,34624
2023-11-02,48.0,6724
2023-11-02,44.0,9645
2023-11-02,97.0,10641
2023-11-02,8.0,4432
2023-11-02,31.0,5857
2023-11-02,49.0,15983
2023-11-02,37.0,17926
2023-11-02,25.0,13924
2023-11-02,36.0,11726
2023-11-02,52.0,14422
2023-11-02,5.0,2142
2023-11-02,17.0,3827
2023-11-02,67.0,861
2023-11-02,78.0,3951
2023-11-02,26.0,5989
2023-11-02,30.0,8523
2023-11-02,100.0,8520
2023-11-03,97.0,12364
2023-11-03,52.0,18875
2023-11-03,25.0,21288
2023-11-02,28.0,862
2023-11-03,8.0,6618
2023-11-03,49.0,7592
2023-11-03,44.0,7876
2023-11-03,5.0,3808
2023-11-03,48.0,5152
2023-11-01,26.0,4832
2023-11-03,36.0,11899
2023-11-03,28.0,4407
2023-11-03,30.0,8421
2023-11-03,67.0,41
2023-11-03,31.0,7092
2023-11-03,78.0,2630
2023-11-03,37.0,28390
2023-11-04,48.0,11177
2023-11-04,8.0,7764
2023-11-04,44.0,7115
2023-11-04,52.0,15230
2023-11-04,17.0,6305
2023-11-04,5.0,60
2023-11-04,31.0,2830
2023-11-04,49.0,8429
2023-11-04,28.0,5891
2023-11-04,36.0,15223
2023-11-02,80.0,10020
2023-11-03,100.0,247
2023-11-04,97.0,10999
2023-11-04,78.0,4376
2023-11-04,37.0,16489
2023-11-04,67.0,1117
2023-11-04,100.0,21986
2023-11-05,52.0,9320
2023-11-05,8.0,5063
2023-11-05,5.0,1595
2023-11-03,80.0,11915
2023-11-04,80.0,8676
2023-11-05,97.0,7492
2023-11-05,31.0,3403
2023-11-05,49.0,11445
2023-11-05,48.0,2000
2023-11-05,17.0,9205
2023-11-01,58.0,11278
2023-11-03,17.0,5708
2023-11-05,44.0,2659
2023-11-04,30.0,9203
2023-11-05,36.0,7691
2023-11-05,28.0,4922
2023-11-05,30.0,168
2023-11-05,80.0,8583
2023-11-05,67.0,336
2023-11-05,78.0,8993
